requested_current_A_m2,transport_limited_current_A_m2,growth_velocity_m_s
2031.0743648200475,2031.0743648200475,7.091503915662648e-08
2044.094072286843,2044.094072286843,7.136962274096384e-08
2057.113779753638,2057.113779753638,7.182420632530118e-08
2070.1334872204334,2070.1334872204334,7.227878990963854e-08
2083.1531946872283,2083.1531946872283,7.273337349397587e-08
2096.1729021540236,2096.1729021540236,7.318795707831323e-08
2109.1926096208185,2109.1926096208185,7.364254066265057e-08
2122.212317087614,2122.212317087614,7.409712424698793e-08
2135.2320245544092,2135.2320245544092,7.455170783132529e-08
2148.251732021204,2148.251732021204,7.500629141566263e-08
2161.2714394879995,2161.2714394879995,7.546087499999999e-08
2174.2911469547944,2174.2911469547944,7.591545858433731e-08
2187.3108544215897,2187.3108544215897,7.637004216867468e-08
2200.330561888385,2200.330561888385,7.682462575301202e-08
2213.35026935518,2213.35026935518,7.727920933734936e-08
2226.3699768219753,2226.3699768219753,7.773379292168671e-08
2239.3896842887702,2239.3896842887702,7.818837650602406e-08
2252.4093917555656,2252.4093917555656,7.864296009036142e-08
2265.429099222361,2265.429099222361,7.909754367469877e-08
2278.448806689156,2278.448806689156,7.955212725903612e-08
2291.468514155951,2291.468514155951,8.000671084337346e-08
2304.4882216227466,2304.4882216227466,8.046129442771082e-08
2317.5079290895414,2317.5079290895414,8.091587801204816e-08
2330.527636556337,2330.527636556337,8.137046159638552e-08
2343.5473440231317,2343.5473440231317,8.182504518072285e-08
2356.567051489927,2356.567051489927,8.227962876506022e-08
2369.5867589567224,2369.5867589567224,8.273421234939756e-08
2382.6064664235173,2382.6064664235173,8.318879593373491e-08
2395.6261738903127,2395.6261738903127,8.364337951807226e-08
2408.6458813571076,2408.6458813571076,8.40979631024096e-08
2421.665588823903,2421.665588823903,8.455254668674697e-08
2434.6852962906983,2434.6852962906983,8.500713027108432e-08
2447.705003757493,2447.705003757493,8.546171385542166e-08
2460.7247112242885,2460.7247112242885,8.591629743975901e-08
2473.744418691084,2473.744418691084,8.637088102409637e-08
2486.7641261578788,2486.7641261578788,8.68254646084337e-08
2499.783833624674,2499.783833624674,8.728004819277107e-08
2512.803541091469,2512.803541091469,8.773463177710839e-08
2525.8232485582644,2525.8232485582644,8.818921536144576e-08
2538.8429560250597,2538.8429560250597,8.86437989457831e-08
2551.8626634918546,2551.8626634918546,8.909838253012044e-08
2564.88237095865,2564.88237095865,8.955296611445779e-08
2577.902078425445,2577.902078425445,9.000754969879514e-08
2590.92178589224,2590.92178589224,9.04621332831325e-08
2603.9414933590356,2603.9414933590356,9.091671686746985e-08
2616.9612008258305,2616.9612008258305,9.13713004518072e-08
2629.980908292626,2629.980908292626,9.182588403614454e-08
2643.0006157594207,2643.0006157594207,9.228046762048189e-08
2656.020323226216,2656.020323226216,9.273505120481924e-08
2669.0400306930114,2669.0400306930114,9.31896347891566e-08
2682.0597381598063,2682.0597381598063,9.364421837349394e-08
2695.0794456266017,2695.0794456266017,9.40988019578313e-08
2708.099153093397,2701.5892993599996,9.432609374999999e-08
2721.118860560192,2701.5892993599996,9.432609374999999e-08
2734.1385680269873,2701.5892993599996,9.432609374999999e-08
2747.158275493782,2701.5892993599996,9.432609374999999e-08
2760.1779829605775,2701.5892993599996,9.432609374999999e-08
2773.197690427373,2701.5892993599996,9.432609374999999e-08
2786.217397894168,2701.5892993599996,9.432609374999999e-08
2799.237105360963,2701.5892993599996,9.432609374999999e-08
