time_s,L_theta_20_m,L_theta_40_m,L_theta_60_m
0.018333333333333337,0.0003619252837509058,0.0003267781416163313,0.0002640043103096406
0.018666666666666668,0.0003652006924472606,0.0003297354701448501,0.0002663935382875856
0.019000000000000003,0.0003684469846663745,0.0003326665097437185,0.0002687615274191782
0.019333333333333334,0.0003716649233591039,0.0003355719492724173,0.00027110883423451924
0.01966666666666667,0.0003748552387273166,0.000338452448021745,0.0002734359913751487
0.020000000000000004,0.00037801863015875096,0.00034130863746078014,0.0002757435090054174
0.020333333333333335,0.0003811557680173337,0.00034414112285333835,0.0002780318761184247
0.02066666666666667,0.00038426729530194017,0.00034695048475564746,0.00028030156174599065
0.021,0.0003873538291852211,0.0003497372804057368,0.00028255301608114494
0.021333333333333336,0.00039041596244292887,0.00035250204501395907,0.0002847866715207404
0.02166666666666667,0.00039345426478311737,0.00035524529296310946,0.0002870029436350304
0.022000000000000002,0.0003964692840836581,0.00035796751892576466,0.00028920223207036766
0.022333333333333337,0.0003994615475456848,0.00036066919890571464,0.00029138492139057766
0.02266666666666667,0.0004024315627698433,0.0003633507912096961,0.00029355138186202336
0.023000000000000003,0.00040537981876156997,0.00036601273735504674,0.0002957019701868992
0.023333333333333338,0.0004083067868710344,0.0003686554629183686,0.0002978370301888672
0.02366666666666667,0.0004112129216728643,0.0003712793783298217,0.00029995689345476713
0.024000000000000004,0.0004140986617903012,0.0003738848796172441,0.0003020618799357921
0.024333333333333335,0.0004169644306680166,0.0003764723491039194,0.00030415229851121496
0.02466666666666667,0.00041981063729744654,0.0003790421560634722,0.00030622844751747926
0.025000000000000005,0.0004226376768981596,0.00038159465733506785,0.0003082906152452194
0.025333333333333336,0.00042544593155847445,0.0003841301979018183,0.0003103390804065551
0.02566666666666667,0.00042823577083826513,0.0003866491114350482,0.00031237411257480443
0.026000000000000002,0.0004310075523366477,0.0003891517208068526,0.00031439597259857977
0.026333333333333337,0.0004337616222270166,0.00039163833857317496,0.00031640491299206666
0.026666666666666672,0.00043649831576169685,0.00039410926742945165,0.0003184011783031395
0.027000000000000003,0.000439217957748295,0.00039656480064070393,0.000320385005460833
0.027333333333333338,0.00044192086299966424,0.00039900522244780645,0.00032235662410356694
0.02766666666666667,0.0004446073367592498,0.000401430808451526,0.0003243162568894114
0.028000000000000004,0.0004472776751034395,0.0004038418259757996,0.0003262641197895794
0.028333333333333335,0.0004499321653224216,0.0004062385344116068,0.00032820042236624155
0.02866666666666667,0.00045257108628093766,0.00040862118554268876,0.00033012536803567476
0.029000000000000005,0.00045519470876021053,0.00041099002385427155,0.0003320391543176799
0.029333333333333336,0.00045780329578223644,0.0004133452868258654,0.0003339419730721348
0.02966666666666667,0.00046039710291753883,0.00041568720520913216,0.0003358340107234834
0.030000000000000002,0.0004629763785774041,0.00041801600329174167,0.00033771544847390546
0.030333333333333337,0.00046554136429154477,0.0004203318991480704,0.0003395864625058564
0.030666666666666672,0.0004680922949720683,0.00042263510487753605,0.00034144722417461793
0.031000000000000003,0.0004706293991645685,0.0004249258268313049,0.0003432979001914549
0.03133333333333334,0.00047315289928709906,0.0004272042658280584,0.0003451386527979335
0.03166666666666667,0.00047566301185773596,0.00042947061735945636,0.0003469696399319151
0.032,0.0004781599477113883,0.0004317250717858934,0.00034879101538570794
0.03233333333333334,0.0004806439122064719,0.0004339678145231016,0.0003506029289568236
0.03266666666666667,0.000483115105422018,0.0004361990262201181,0.0003524055265917574
0.033,0.0004855737223457552,0.00043841888292910184,0.0003541989505231829
0.03333333333333334,0.0004880199530536611,0.00044062755626744885,0.00035598333940092553
0.03366666666666667,0.000490453982881455,0.0004428252135726307,0.0003577588284170565
0.034,0.000492875992588468,0.0004450120180501514,0.00035952554942542705
0.03433333333333334,0.0004952861585143002,0.00044718812891499093,0.0003612836310559414
0.03466666666666667,0.0004976846527286505,0.00044935370152688486,0.00036303319882384846
0.035,0.000500071643174678,0.00045150888751976405,0.000364774375234317
0.035333333333333335,0.0005024472938062334,0.0004536538349256592,0.0003665072798825374
0.03566666666666667,0.0005048117647192788,0.0004557886882933576,0.0003682320295495857
0.036000000000000004,0.0005071652122777915,0.0004579135888020814,0.0003699487382942633
0.036333333333333336,0.0005095077892344359,0.00046002867437043956,0.0003716575175411196
0.036666666666666674,0.0005118396448462617,0.0004621340797608917,0.00037335847616484883
0.037000000000000005,0.0005141609249856822,0.0004642299366799479,0.00037505172057124113
0.037333333333333336,0.0005164717722469615,0.0004663163738743157,0.0003767373547748599
0.037666666666666675,0.0005187723260484336,0.0004683935172231922,0.0003784154804736046
0.038000000000000006,0.0005210627227306586,0.0004704614898268881,0.0003800861971203103
0.03833333333333334,0.0005233430956507138,0.0004725204120919617,0.00038174960199152756
0.03866666666666667,0.0005256135752728017,0.00047457040181302876,0.00038340579025361636
0.03900000000000001,0.0005278742892553511,0.0004766115742514043,0.0003850548550262812
0.03933333333333334,0.0005301253625347754,0.00047864404221072685,0.0003866968874436679
