x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
9.2e-05,6976369442708.531,3587762123886.4683,1436958381075.4377,448219883455.1734
9.3e-05,7051769965908.5,3644716717408.2925,1467086768497.193,459911428079.5881
9.4e-05,7127272654220.062,3702205208128.335,1497697073934.45,471860751141.2375
9.499999999999999e-05,7202863420897.497,3760224429465.943,1528793166836.2556,484072129395.80414
9.6e-05,7278528002522.666,3818771004597.5635,1560378849947.9104,496549870867.7329
9.7e-05,7354251962866.433,3877841344523.19,1592457856389.3374,509298313914.1267
9.8e-05,7430020696877.731,3937431646209.541,1625033846708.1377,522321826249.11615
9.9e-05,7505819434799.153,3997537890812.2515,1658110405908.553,535624803928.26355
9.999999999999999e-05,7581633246407.916,4058155841979.37,1691691040457.6577,549211670292.59265
0.000101,7657447045380.964,4119281044238.465,1725779175270.136,563086874871.8591
0.000102,7733245593782.779,4180908821469.5493,1760378150673.016,577254892246.6844
0.000103,7809013506674.525,4243034275466.1113,1795491219351.8198,591720220869.2107
0.000104,7884735256842.853,4305652284586.3613,1831121543279.5703,606487381841.9248
0.00010499999999999999,7960395179646.788,4368757502496.9556,1867272190630.2244,621560917654.3702
0.000106,8035977477980.9,4432344357011.237,1903946132678.0234,636945390877.4277
0.000107,8111466227352.87,4496407049024.173,1941146240684.4282,652645382814.9257
0.000108,8186845381073.539,4560939551545.99,1978875282774.2332,668665492112.3191
0.00010899999999999999,8262098775557.33,4625935608836.558,2017135920802.5583,685010333322.2334
0.00010999999999999999,8337210135730.929,4691388735642.493,2055930707214.4348,701684535426.6715
0.000111,8412163080547.923,4757292216538.913,2095262081898.7454,718692740315.7216
0.000112,8486941128607.1,4823639105377.737,2135132369038.3103,736039601222.6298
0.000113,8561527703871.911,4890422224844.368,2175543773957.9573,753729781115.1161
0.00011399999999999999,8635906141488.621,4957634166124.5625,2216498379972.4536,771767951042.8638
0.00011499999999999999,8710059693700.434,5025267288683.184,2257998145236.173,790158788441.1104
0.000116,8783971535854.971,5093313720156.596,2300044899596.497,808906975390.3353
0.000117,8857624772502.209,5161765356360.221,2342640341452.86,828017196832.0292
0.000118,8931002443580.043,5230613861412.942,2385786034623.501,847494138740.5979
0.00011899999999999999,9004087530684.436,5299850667979.767,2429483405221.929,867342486251.4635
0.00011999999999999999,9076862963421.135,5369466977634.238,2473733738545.182,887566921745.4623
0.000121,9149311625835.785,5439453761341.962,2518538175975.992,908172122889.6768
0.000122,9221416362919.182,5509801760066.555,2563897711900.96,929162760634.8706
0.00012299999999999998,9293159987184.406,5580501485499.29,2609813190646.942,950543497169.7311
0.000124,9364525285312.408,5651543220913.536,2656285303437.7754,972318983832.1539
0.000125,9435495024862.592,5722917022145.179,2703314585373.59,994493858977.8461
0.000126,9506051961044.87,5794612718699.981,2750901412434.9463,1017072745806.5663
0.000127,9576178843549.578,5866619914988.87,2799045998514.016,1040060250146.3365
0.000128,9645858423431.576,5938927991691.988,2847748392475.1113,1063460958196.025
0.000129,9715073460044.78,6011526107252.329,2897008475246.854,1087279434226.715
0.00013,9783806728023.35,6084403199499.645,2946825956948.292,1111520218242.3293
0.00013099999999999999,9852041024305.656,6157547987405.258,2997200374051.291,1136187823600.0076
0.00013199999999999998,9919759175197.082,6230948972968.324,3048131086581.556,1161286734590.785
0.000133,9986944043467.727,6304594443233.985,3099617275360.6323,1186821403981.147
0.000134,10053578535480.926,6378472472443.797,3151657939291.2505,1212796250516.0876
0.000135,10119645608348.586,6452570924318.704,3204251892688.4194,1239215656384.3423
0.000136,10185128277109.117,6526877454474.748,3257397762658.6133,1266083964646.4805
0.000137,10250009621923.857,6601379512971.6045,3311093986529.488,1293405476626.6306
0.000138,10314272795287.764,6676064346993.962,3365338809332.493,1321184449268.6072
0.000139,10377901029250.104,6750919003665.659,3420130281340.7974,1349425092457.28
0.00014,10440877642640.898,6825930332996.366,3475466255664.924,1378131566306.0652
0.00014099999999999998,10503186048298.775,6901084990960.583,3531344385908.4927,1407307978411.4358
0.00014199999999999998,10564809760295.89,6976369442708.531,3587762123886.465,1436958381075.4377
0.000143,10625732401155.592,7051769965908.501,3644716717408.2925,1467086768497.1943
0.000144,10685937709058.37,7127272654220.0625,3702205208128.3335,1497697073934.4507
0.000145,10745409545031.777,7202863420897.498,3760224429465.943,1528793166836.2576
0.000146,10804131900119.824,7278528002522.666,3818771004597.5625,1560378849947.9111
0.000147,10862088902527.445,7354251962866.433,3877841344523.1875,1592457856389.3381
0.000148,10919264824735.627,7430020696877.731,3937431646209.5396,1625033846708.1387
0.000149,10975644090582.701,7505819434799.153,3997537890812.2505,1658110405908.553
0.00015,11031211282307.441,7581633246407.916,4058155841979.369,1691691040457.6587
